station_observations
wind_direction, air_temperature_yesterday_high, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed
None, 15.0, 2011-05-31 06:00:00, 8.7, 0.0, None
None, 20.6, 2011-06-01 06:00:00, 7.0, 0.5, None
None, 12.9, 2011-06-02 06:00:00, 8.2, 0.0, None
None, 14.7, 2011-06-03 06:00:00, 9.6, 0.5, None
None, 13.5, 2011-06-04 06:00:00, 9.4, 0.0, None
292.5, 18.2, 2011-06-05 06:00:00, 4.8, 0.0, 31.48
315.0, 20.2, 2011-06-06 06:00:00, 4.4, 0.0, 31.48
None, 18.4, 2011-06-07 06:00:00, 5.2, 0.0, None
None, 23.8, 2011-06-08 06:00:00, 4.4, 0.5, None
None, 23.1, 2011-06-09 06:00:00, 8.3, 0.0, None
None, 13.6, 2011-06-10 06:00:00, 9.9, 1.5, None
None, 15.2, 2011-06-11 06:00:00, 8.8, 2.0, None
None, 16.4, 2011-06-12 06:00:00, 4.0, 0.0, None
None, 17.1, 2011-06-13 06:00:00, 9.6, 0.0, None
202.5, 12.5, 2011-06-14 06:00:00, 10.4, 10.0, 37.04
None, 11.1, 2011-06-15 06:00:00, 9.0, 15.5, None
292.5, 15.5, 2011-06-16 06:00:00, 8.2, 0.5, 31.48
None, 15.3, 2011-06-17 06:00:00, 5.2, 0.0, None
None, 16.4, 2011-06-18 06:00:00, 9.3, 5.0, None
None, 14.4, 2011-06-19 06:00:00, 10.3, 13.0, None
None, 15.1, 2011-06-20 06:00:00, 8.9, 0.0, None
None, 15.9, 2011-06-21 06:00:00, 9.2, 0.0, None
None, 15.3, 2011-06-22 06:00:00, 11.0, 2.0, None
None, 14.1, 2011-06-23 06:00:00, 10.0, 0.0, None
None, 16.5, 2011-06-24 06:00:00, 8.9, 4.0, None
None, 16.3, 2011-06-25 06:00:00, 8.2, 4.0, None
None, 14.1, 2011-06-26 06:00:00, 10.4, 1.5, None
None, 19.0, 2011-06-27 06:00:00, 7.5, 0.5, None
None, 20.6, 2011-06-28 06:00:00, 11.5, 0.0, None
None, 17.7, 2011-06-29 06:00:00, 12.1, 1.5, None
202.5, 13.8, 2011-06-30 06:00:00, 9.8, 21.5, 35.19
157.5, 10.8, 2011-07-01 06:00:00, 8.7, 42.0, 31.48
135.0, 11.6, 2011-07-02 06:00:00, 9.4, 37.0, 46.3
180.0, 11.6, 2011-07-03 06:00:00, 9.8, 21.0, 31.48
None, 15.3, 2011-07-04 06:00:00, 9.4, 12.0, None
180.0, 13.9, 2011-07-05 06:00:00, 9.4, 7.0, 33.34
157.5, 14.4, 2011-07-06 06:00:00, 11.6, 18.5, 35.19
None, 13.5, 2011-07-07 06:00:00, 10.9, 9.5, None
None, 13.8, 2011-07-08 06:00:00, 7.1, 0.5, None
None, 16.1, 2011-07-09 06:00:00, 9.5, 0.0, None
None, 18.3, 2011-07-10 06:00:00, 7.1, 0.5, None
None, 20.5, 2011-07-11 06:00:00, 7.4, 0.0, None
None, 21.3, 2011-07-12 06:00:00, 11.1, 0.0, None
None, 16.6, 2011-07-13 06:00:00, 11.2, 2.0, None
None, 15.6, 2011-07-14 06:00:00, 12.8, 2.5, None
None, 14.0, 2011-07-15 06:00:00, 12.5, 10.0, None
None, 16.3, 2011-07-16 06:00:00, 12.0, 20.0, None
None, 21.7, 2011-07-17 06:00:00, 12.5, 1.0, None
None, 20.9, 2011-07-18 06:00:00, 13.2, 2.0, None
None, 19.8, 2011-07-19 06:00:00, 8.4, 0.0, None
None, 15.5, 2011-07-20 06:00:00, 12.1, 0.0, None
180.0, 13.5, 2011-07-21 06:00:00, 11.8, 27.0, 46.3
None, 16.0, 2011-07-22 06:00:00, 11.1, 4.0, None
None, 16.4, 2011-07-23 06:00:00, 10.4, 1.0, None
None, 17.0, 2011-07-24 06:00:00, 11.5, 9.5, None
None, 18.7, 2011-07-25 06:00:00, 13.5, 0.5, None
None, 16.7, 2011-07-26 06:00:00, 13.0, 0.0, None
None, 16.4, 2011-07-27 06:00:00, 12.1, 1.5, None
None, 16.5, 2011-07-28 06:00:00, 8.5, 0.0, None
None, 14.4, 2011-07-29 06:00:00, 12.0, 18.5, None
135.0, 18.0, 2011-07-30 06:00:00, 11.8, 10.5, 33.34
None, 16.8, 2011-07-31 06:00:00, 11.6, 36.0, None
None, 15.6, 2011-08-01 06:00:00, 11.1, 10.0, None
None, 19.2, 2011-08-02 06:00:00, 7.8, 0.5, None
None, 19.1, 2011-08-03 06:00:00, 9.4, 0.0, None
None, 22.9, 2011-08-04 06:00:00, 13.8, 0.0, None
None, 17.5, 2011-08-05 06:00:00, 8.9, 0.0, None
315.0, 18.4, 2011-08-06 06:00:00, 10.9, 0.5, 31.48
None, 19.3, 2011-08-07 06:00:00, 6.1, 0.0, None
None, 19.8, 2011-08-08 06:00:00, 6.0, 0.0, None
None, 19.8, 2011-08-09 06:00:00, 8.4, 0.0, None
None, 17.0, 2011-08-10 06:00:00, 11.8, 0.0, None
None, 19.3, 2011-08-11 06:00:00, 8.8, 0.0, None
None, 18.8, 2011-08-12 06:00:00, 8.6, 0.0, None
None, 17.8, 2011-08-13 06:00:00, 6.6, 0.0, None
None, 14.2, 2011-08-14 06:00:00, 11.1, 23.0, None
180.0, 16.6, 2011-08-15 06:00:00, 10.6, 9.5, 37.04
None, 16.7, 2011-08-16 06:00:00, 11.8, None, None
None, 17.0, 2011-08-17 06:00:00, 7.8, 0.0, None
None, 17.4, 2011-08-18 06:00:00, 11.1, 8.0, None
None, 19.4, 2011-08-19 06:00:00, 7.9, 0.0, None
None, 19.0, 2011-08-20 06:00:00, 7.5, 0.0, None
None, 22.9, 2011-08-21 06:00:00, 14.3, None, None
180.0, 17.3, 2011-08-22 06:00:00, 13.9, 73.5, 51.86
None, 16.7, 2011-08-23 06:00:00, 12.1, 5.5, None
180.0, 16.5, 2011-08-24 06:00:00, 13.0, 8.0, 31.48
None, 19.0, 2011-08-25 06:00:00, 9.1, 16.5, None
