station_observations
wind_direction, air_temperature, wind_gust_speed, total_cloud_cover, tendency_amount, wind_speed, mean_sea_level, dew_point, snow_amount, air_temperature_yesterday_high, relative_humidity, time, air_temperature_yesterday_low, total_precipitation
None, None, None, None, None, None, None, None, None, -21.0, None, 2012-01-24 06:00:00, -27.7, None
0.0, -19.9, None, 4.0, None, 0.0, 98.11, -23.9, None, None, 70.0, 2012-01-24 20:00:00, None, None
0.0, -18.7, None, 4.0, -0.3, 0.0, 97.86, -32.5, None, None, 29.0, 2012-01-24 21:00:00, None, None
0.0, -18.0, None, 4.0, None, 0.0, 97.79, -22.0, None, None, 71.0, 2012-01-24 22:00:00, None, None
0.0, -17.2, None, 10.0, None, 0.0, 97.73, -20.8, None, None, 74.0, 2012-01-24 23:00:00, None, None
337.5, -17.1, None, 10.0, -0.13, 5.4, 97.78, -20.6, None, None, 74.0, 2012-01-25 00:00:00, None, None
0.0, -16.7, None, 10.0, None, 7.6, 97.8, -20.2, None, None, 74.0, 2012-01-25 01:00:00, None, None
0.0, -17.1, None, 10.0, None, 11.2, 97.8, -20.7, None, None, 74.0, 2012-01-25 02:00:00, None, None
0.0, -17.3, None, 10.0, 0.01, 5.4, 97.81, -20.9, None, None, 74.0, 2012-01-25 03:00:00, None, None
0.0, -17.7, None, 10.0, None, 7.6, 97.83, -21.3, None, None, 73.0, 2012-01-25 04:00:00, None, None
0.0, -17.8, None, 2.0, None, 0.0, 97.82, -21.4, None, None, 73.0, 2012-01-25 05:00:00, None, None
0.0, -18.2, 38.89, 2.0, 0.01, 0.0, 97.79, -22.0, 1.6, -13.4, 72.0, 2012-01-25 06:00:00, -24.5, 0.6
0.0, -18.9, None, 4.0, None, 0.0, 97.72, -22.8, None, None, 71.0, 2012-01-25 07:00:00, None, None
292.5, -17.8, None, 4.0, None, 9.4, 97.66, -21.8, None, None, 71.0, 2012-01-25 08:00:00, None, None
337.5, -16.8, None, 6.0, -0.22, 11.2, 97.5, -20.5, None, None, 73.0, 2012-01-25 09:00:00, None, None
315.0, -16.9, None, 6.0, None, 13.0, 97.45, -20.9, None, None, 71.0, 2012-01-25 10:00:00, None, None
337.5, -16.9, None, 6.0, None, 18.4, 97.38, -20.9, None, None, 71.0, 2012-01-25 11:00:00, None, None
337.5, -17.2, None, 6.0, -0.18, 14.8, 97.29, -21.2, None, None, 71.0, 2012-01-25 12:00:00, None, None
337.5, -17.2, None, 6.0, None, 11.2, 97.3, -21.1, None, None, 72.0, 2012-01-25 13:00:00, None, None
22.5, -17.2, None, 6.0, None, 9.4, 97.41, -21.0, None, None, 72.0, 2012-01-25 14:00:00, None, None
22.5, -17.7, None, 8.0, 0.48, 9.4, 97.83, -21.6, None, None, 72.0, 2012-01-25 15:00:00, None, None
270.0, -19.1, None, 4.0, None, 9.4, 98.08, -23.4, None, None, 69.0, 2012-01-25 16:00:00, None, None
157.5, -20.1, None, 4.0, None, 5.4, 98.25, -24.2, None, None, 70.0, 2012-01-25 17:00:00, None, None
180.0, -19.6, None, 10.0, 0.55, 9.4, 98.46, -23.3, None, None, 72.0, 2012-01-25 18:00:00, None, None
